City,Max Temperature,Cloudiness,Latitude,Longitude,Country,Wind Speed,Humidity,Dates
Albany,26.01,18,42.6001,-73.9662,US,2.82,64,1612497597
Petrovskoye,6.67,100,57.0104,39.2693,RU,9.15,94,1612497773
Liku,85.48,95,-0.7275,119.8922,ID,4.88,59,1612497773
Jamestown,36.0,90,42.097,-79.2353,US,19.57,64,1612497773
Hobart,78.01,75,-42.8794,147.3294,AU,14.97,73,1612497606
Provideniya,-4.92,100,64.3833,-173.3,RU,27.34,88,1612497773
Taoudenni,66.43,15,22.6783,-3.9836,ML,6.22,21,1612497773
Airai,64.4,99,-8.9266,125.4092,TL,3.27,100,1612497770
Ushuaia,44.6,40,-54.8,-68.3,AR,29.93,81,1612497543
Busselton,75.0,1,-33.65,115.3333,AU,1.01,42,1612497773
Kahului,71.6,90,20.8947,-156.47,US,12.66,60,1612497774
Shimoda,51.8,40,34.6667,138.95,JP,6.91,54,1612497774
Kapaa,68.0,75,22.0752,-159.319,US,12.66,60,1612497774
Asău,36.0,27,46.4333,26.4,RO,1.12,72,1612497774
Riohacha,78.03,94,11.5444,-72.9072,CO,12.84,82,1612497607
Waingapu,85.35,74,-9.6567,120.2641,ID,15.37,72,1612497774
Necochea,57.16,0,-38.5473,-58.7368,AR,3.78,83,1612497774
Mar del Plata,64.0,40,-38.0023,-57.5575,AR,6.91,77,1612497774
Gwadar,67.73,0,25.1216,62.3254,PK,8.23,25,1612497618
San Matías,76.48,100,-16.3667,-58.4,BO,3.71,91,1612497775
Katsuura,48.2,20,35.1333,140.3,JP,6.91,43,1612497775
Port Alfred,69.01,65,-33.5906,26.891,ZA,3.0,86,1612497775
Borgo San Dalmazzo,46.0,100,44.333,7.4858,IT,3.65,74,1612497775
Rikitea,78.91,100,-23.1203,-134.9692,PF,11.97,69,1612497775
São Borja,63.68,0,-28.6606,-56.0044,BR,5.37,90,1612497775
Atuona,78.76,3,-9.8,-139.0333,PF,10.83,74,1612497775
Makakilo City,75.2,20,21.3469,-158.0858,US,11.5,50,1612497775
Council Bluffs,23.0,75,41.2619,-95.8608,US,4.61,73,1612497776
Puerto Ayora,77.0,35,-0.7393,-90.3518,EC,1.99,95,1612497776
Nikolskoye,6.01,20,59.7035,30.7861,RU,11.18,85,1612497776
Moses Lake,46.4,20,47.1301,-119.2781,US,9.22,61,1612497776
Yellowknife,-31.0,1,62.456,-114.3525,CA,6.91,75,1612497606
São Luiz Gonzaga,61.47,0,-28.4083,-54.9608,BR,4.83,96,1612497619
Coquimbo,60.8,90,-29.9533,-71.3436,CL,6.91,82,1612497777
Vaini,84.2,75,-21.2,-175.2,TO,9.22,84,1612497772
Khovd,24.93,95,48.0056,91.6419,MN,4.07,75,1612497777
Upernavik,-4.38,98,72.7868,-56.1549,GL,7.76,72,1612497777
Punta Arenas,48.2,75,-53.15,-70.9167,CL,11.5,61,1612497729
Constitución,59.58,89,-35.3333,-72.4167,CL,3.09,90,1612497777
Ostrovnoy,13.35,100,68.0531,39.5131,RU,20.96,92,1612497777
The Valley,78.8,20,18.217,-63.0578,AI,13.8,73,1612497777
Auki,85.17,28,-8.7676,160.7034,SB,8.57,66,1612497777
Avarua,84.2,20,-21.2078,-159.775,CK,4.61,70,1612497778
Buckeye,60.01,0,33.3703,-112.5838,US,9.22,35,1612497504
Punta Alta,68.41,0,-38.8759,-62.0736,AR,12.21,46,1612497778
Mataura,75.43,81,-46.1927,168.8643,NZ,1.83,39,1612497778
Bredasdorp,60.8,3,-34.5322,20.0403,ZA,1.14,88,1612497778
Chicama,72.79,98,-7.8447,-79.1469,PE,4.92,66,1612497778
Clyde River,-22.0,90,70.4692,-68.5914,CA,17.27,76,1612497778
Bluff,58.37,87,-46.6,168.3333,NZ,11.45,73,1612497510
Kismayo,76.46,6,-0.3582,42.5454,SO,11.21,83,1612497779
Ilulissat,3.2,82,69.2167,-51.1,GL,17.27,43,1612497779
Cape Town,66.99,0,-33.9258,18.4232,ZA,10.36,88,1612497774
Cidreira,68.38,1,-30.1811,-50.2056,BR,16.22,76,1612497779
Fortuna,46.0,1,40.5982,-124.1573,US,3.44,93,1612497779
Atar,57.87,100,20.5169,-13.0499,MR,5.01,65,1612497779
Klaksvík,33.8,20,62.2266,-6.589,FO,12.66,69,1612497779
Tessalit,66.76,85,20.1986,1.0114,ML,16.15,23,1612497729
Hilo,71.6,75,19.7297,-155.09,US,16.11,73,1612497780
Aguadilla,77.0,40,18.4275,-67.1541,PR,6.91,94,1612497780
Butaritari,80.83,97,3.0707,172.7902,KI,13.78,83,1612497780
Tiksi,-15.2,100,71.6872,128.8694,RU,9.8,90,1612497780
Warmbad,68.02,0,-28.45,18.7333,NA,1.5,34,1612497780
Saint-Joseph,82.99,75,-21.3667,55.6167,RE,10.36,69,1612497780
Marystown,42.19,100,47.1666,-55.1483,CA,9.75,97,1612497780
Şabyā,71.6,0,17.1495,42.6254,SA,9.22,73,1612497780
Lebu,60.15,0,-37.6167,-73.65,CL,3.87,80,1612497781
Mulegé,64.22,99,26.8833,-111.9833,MX,6.89,56,1612497781
East London,68.0,40,-33.0153,27.9116,ZA,1.14,100,1612497595
Hithadhoo,82.54,100,-0.6,73.0833,MV,11.52,76,1612497781
Grand Gaube,82.99,2,-20.0064,57.6608,MU,4.0,69,1612497781
Rovaniemi,14.0,96,66.5,25.7167,FI,6.91,92,1612497781
Orotukan,-15.21,100,62.2667,151.7,RU,2.62,85,1612497781
Sittwe,74.46,32,20.15,92.9,MM,2.68,41,1612497781
Pueblo Nuevo,50.79,0,23.3833,-105.3833,MX,4.9,59,1612497781
Kamenka,39.0,100,51.3223,42.7678,RU,12.64,98,1612497782
Hermanus,63.0,21,-34.4187,19.2345,ZA,7.07,91,1612497782
Mahébourg,82.4,40,-20.4081,57.7,MU,11.5,65,1612497782
Karratha,85.89,26,-20.7377,116.8463,AU,15.61,67,1612497782
Anloga,84.2,40,5.7947,0.8973,GH,4.61,84,1612497782
Bajram Curri,41.0,75,42.3554,20.0784,AL,4.61,100,1612497782
Port Elizabeth,60.8,0,-33.918,25.5701,ZA,5.48,88,1612497776
Lola,70.12,17,7.8,-8.5333,GN,3.09,96,1612497783
Urusha,-8.32,90,54.05,122.9,RU,3.53,82,1612497783
Carnarvon,82.4,75,-24.8667,113.6333,AU,19.57,70,1612497767
Tautira,82.0,37,-17.7333,-149.15,PF,1.99,65,1612497783
Larap,76.19,99,14.299,122.6504,PH,14.85,88,1612497783
Kangaatsiaq,3.56,100,68.3065,-53.4641,GL,16.13,83,1612497783
Henties Bay,66.0,7,-22.116,14.2845,NA,1.99,84,1612497783
Meulaboh,85.86,49,4.1363,96.1285,ID,0.63,61,1612497784
Tibati,61.0,0,6.4667,12.6333,CM,3.18,30,1612497764
Tuktoyaktuk,-31.0,40,69.4541,-133.0374,CA,10.36,68,1612497763
Kiama,84.0,23,-34.6833,150.8667,AU,7.0,68,1612497784
Hirara,73.4,20,24.8,125.2833,JP,10.36,49,1612497784
Pisco,72.0,0,-13.7,-76.2167,PE,11.5,78,1612497784
Maniitsoq,14.58,100,65.4167,-52.9,GL,3.56,72,1612497785
Guerrero Negro,60.04,100,27.9769,-114.0611,MX,15.03,74,1612497785
Santa Isabel Rio Negro,74.8,100,-0.4139,-65.0192,BR,1.36,94,1612497785
Mahibadhoo,81.25,100,3.7833,72.9667,MV,16.8,77,1612497721
La Maná,50.0,75,-0.9333,-79.2167,EC,14.97,87,1612497785
La Ronge,-0.4,100,55.1001,-105.2842,CA,11.5,71,1612497774
Port Hardy,44.6,90,50.6996,-127.4199,CA,4.61,100,1612497785
Olafsvik,38.8,100,64.8945,-23.7142,IS,35.75,76,1612497785
Plouzané,46.4,20,48.3833,-4.6167,FR,4.61,100,1612497786
Rio Grande,64.99,77,-32.035,-52.0986,BR,4.0,90,1612497615
Melilla,69.8,20,35.2937,-2.9383,ES,12.66,88,1612497786
Chokurdakh,-14.93,100,70.6333,147.9167,RU,20.45,87,1612497786
Waipawa,59.0,90,-41.4122,175.5153,NZ,19.57,77,1612497786
Qaanaaq,-17.95,74,77.484,-69.3632,GL,8.28,63,1612497786
Banda Aceh,83.89,38,5.5577,95.3222,ID,15.5,68,1612497498
Korla,31.33,30,41.7597,86.1469,CN,6.55,74,1612497785
Minbu,80.2,41,20.1833,94.8833,MM,6.46,27,1612497787
Bethel,25.0,1,41.3712,-73.414,US,2.17,86,1612497787
Alta Floresta,72.86,99,-9.8756,-56.0861,BR,3.2,95,1612497787
Golden,36.0,40,39.7555,-105.2211,US,23.02,27,1612497607
Hay River,-25.6,69,60.8156,-115.7999,CA,4.61,68,1612497787
Kaniama,64.24,11,-7.5667,24.1833,CD,3.47,94,1612497787
Yeppoon,89.6,30,-23.1333,150.7333,AU,10.36,40,1612497787
Vanimo,83.5,30,-2.6741,141.3028,PG,7.34,77,1612497552
Atambua,77.59,100,-9.1061,124.8925,ID,2.71,85,1612497788
Mahon,53.6,90,39.8885,4.2658,ES,8.05,94,1612497788
Severo-Kuril'sk,13.1,74,50.6789,156.125,RU,9.89,85,1612497775
Lüderitz,64.98,0,-26.6481,15.1594,NA,17.43,68,1612497788
Castro,60.87,1,-24.7911,-50.0119,BR,5.17,89,1612497788
Ribera,55.99,100,37.4984,13.2642,IT,1.99,76,1612497788
Leningradskiy,-25.01,100,69.3833,178.4167,RU,11.36,85,1612497789
Nebolchi,6.48,100,59.1239,33.3454,RU,6.51,95,1612497789
Stromness,33.8,75,58.965,-3.296,GB,24.16,93,1612497789
Tilichiki,-5.01,96,60.4667,166.1,RU,14.56,93,1612497789
Locri,50.0,40,38.2414,16.2623,IT,6.91,81,1612497789
Vostok,1.27,7,46.4856,135.8833,RU,5.06,84,1612497785
Kruisfontein,61.0,0,-34.0033,24.7314,ZA,3.65,95,1612497789
Oro Valley,60.01,0,32.3909,-110.9665,US,3.0,32,1612497521
Eyl,69.55,7,7.9803,49.8164,SO,13.78,75,1612497789
Bathurst,86.0,48,-33.4166,149.5806,AU,1.99,42,1612497672
Mossamedes,69.62,20,-15.1961,12.1522,AO,8.93,77,1612497790
Gigmoto,78.67,94,13.7796,124.39,PH,13.91,85,1612497790
Hong Kong,73.4,20,22.2855,114.1577,HK,8.05,49,1612497539
Haines Junction,-22.0,24,60.7522,-137.5108,CA,2.33,69,1612497790
Thanh Hoa,73.81,53,19.8,105.7667,VN,4.56,62,1612497691
George Town,87.8,20,5.4112,100.3354,MY,3.44,54,1612497613
Puerto Lleras,74.07,96,3.0223,-73.4044,CO,2.06,88,1612497790
Emba,31.77,49,48.8264,58.1442,KZ,6.31,96,1612497790
Torbay,41.0,90,47.6666,-52.7314,CA,5.75,100,1612497782
Amga,-26.16,100,60.8953,131.9608,RU,3.18,80,1612497791
Atikokan,3.09,100,48.7555,-91.6216,CA,11.05,92,1612497791
Toora-Khem,13.64,100,52.4675,96.11,RU,0.96,93,1612497791
Ilebo,69.75,47,-4.3167,20.5833,CD,0.69,92,1612497791
Cukai,82.4,40,4.25,103.4167,MY,6.91,78,1612497688
Pevek,-14.46,81,69.7008,170.3133,RU,1.32,81,1612497791
Florida,41.0,1,28.7505,-82.5001,US,6.26,75,1612497554
Bengkulu,85.51,33,-3.8004,102.2655,ID,5.53,60,1612497791
Tsiroanomandidy,69.82,100,-18.7667,46.0333,MG,2.68,92,1612497792
Ukholovo,27.0,100,53.7929,40.4892,RU,19.17,83,1612497792
Podor,69.8,0,16.6527,-14.9587,MR,4.61,68,1612497792
San Miguel de Tucumán,73.4,0,-26.8241,-65.2226,AR,3.76,73,1612497792
